,flight_id,flight_no,scheduled_departure,scheduled_arrival,departure_airport,arrival_airport,status,aircraft_code,actual_departure,actual_arrival
0,1185,PG0134,2017-09-10 09:50:00+03,2017-09-10 14:55:00+03,DME,BTK,Scheduled,319,\N,\N
1,3979,PG0052,2017-08-25 14:50:00+03,2017-08-25 17:35:00+03,VKO,HMA,Scheduled,CR2,\N,\N
2,4739,PG0561,2017-09-05 12:30:00+03,2017-09-05 14:15:00+03,VKO,AER,Scheduled,763,\N,\N
3,5502,PG0529,2017-09-12 09:50:00+03,2017-09-12 11:20:00+03,SVO,UFA,Scheduled,763,\N,\N
4,6938,PG0461,2017-09-04 12:25:00+03,2017-09-04 13:20:00+03,SVO,ULV,Scheduled,SU9,\N,\N
5,7784,PG0667,2017-09-10 15:00:00+03,2017-09-10 17:30:00+03,SVO,KRO,Scheduled,CR2,\N,\N
6,9478,PG0360,2017-08-28 09:00:00+03,2017-08-28 11:35:00+03,LED,REN,Scheduled,CR2,\N,\N
7,11085,PG0569,2017-08-24 15:05:00+03,2017-08-24 16:10:00+03,SVX,SCW,Scheduled,733,\N,\N
8,11847,PG0498,2017-09-12 10:15:00+03,2017-09-12 14:55:00+03,KZN,IKT,Scheduled,319,\N,\N
9,12012,PG0621,2017-08-26 16:05:00+03,2017-08-26 17:00:00+03,KZN,MQF,Scheduled,CR2,\N,\N
10,13113,PG0612,2017-08-18 16:25:00+03,2017-08-18 20:05:00+03,ROV,KZN,Scheduled,CN1,\N,\N
11,14806,PG0676,2017-09-06 07:05:00+03,2017-09-06 07:45:00+03,PEE,CEK,Scheduled,CR2,\N,\N
12,16837,PG0010,2017-09-05 12:25:00+03,2017-09-05 14:35:00+03,JOK,VKO,Scheduled,CN1,\N,\N
13,17173,PG0059,2017-09-14 12:25:00+03,2017-09-14 14:45:00+03,SCW,NBC,Cancelled,CN1,\N,\N
14,19807,PG0035,2017-09-11 06:35:00+03,2017-09-11 09:25:00+03,MJZ,CNN,Scheduled,CN1,\N,\N
15,23609,PG0648,2017-08-31 11:35:00+03,2017-08-31 13:00:00+03,UUA,SVO,Scheduled,CR2,\N,\N
